ユリウス暦,780/2/11,3月11日,4月10日,5月9日,6月7日,7月7日,8月5日,9月3日,10月3日,11月1日,12月1日,12月31日,
宝亀十二年（辛酉）,一月※,二月,三月※,四月,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月※,
ユリウス暦,781/1/30,2月28日,3月30日,4月28日,5月28日,6月26日,7月26日,8月24日,9月22日,10月22日,11月20日,12月20日,
天応元年（辛酉）,一月※,二月,三月※,四月,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月※,
ユリウス暦,781/1/30,2月28日,3月30日,4月28日,5月28日,6月26日,7月26日,8月24日,9月22日,10月22日,11月20日,12月20日,
天応二年（壬戌）,一月,閏一月,二月※,三月,四月,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月※
ユリウス暦,782/1/18,2月17日,3月19日,4月17日,5月17日,6月16日,7月15日,8月14日,9月12日,10月11日,11月10日,12月9日,783/1/8
延暦元年（壬戌）,一月,閏一月,二月※,三月,四月,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月※
ユリウス暦,782/1/18,2月17日,3月19日,4月17日,5月17日,6月16日,7月15日,8月14日,9月12日,10月11日,11月10日,12月9日,783/1/8
延暦二年（癸亥）,一月,二月,三月※,四月,五月※,六月,七月,八月※,九月,十月※,十一月※,十二月,
ユリウス暦,783/2/6,3月8日,4月7日,5月6日,6月5日,7月4日,8月3日,9月2日,10月1日,10月31日,11月29日,12月28日,
延暦三年（甲子）,一月※,二月,三月※,四月,五月※,六月,七月,八月※,九月,閏九月※,十月,十一月,十二月※
ユリウス暦,784/1/27,2月25日,3月26日,4月24日,5月24日,6月22日,7月22日,8月21日,9月19日,10月19日,11月17日,12月17日,785/1/16
延暦四年（乙丑）,一月※,二月,三月※,四月,五月※,六月,七月※,八月,九月,十月,十一月※,十二月,
ユリウス暦,785/2/14,3月15日,4月14日,5月13日,6月12日,7月11日,8月10日,9月8日,10月8日,11月7日,12月7日,786/1/5,
延暦五年（丙寅）,一月※,二月※,三月,四月※,五月,六月※,七月※,八月,九月,十月※,十一月,十二月,
ユリウス暦,786/2/4,3月5日,4月3日,5月3日,6月1日,7月1日,7月30日,8月28日,9月27日,10月27日,11月25日,12月25日,
延暦六年（丁卯）,一月,二月※,三月,四月※,五月※,閏五月※,六月,七月※,八月,九月※,十月,十一月,十二月
ユリウス暦,787/1/24,2月23日,3月24日,4月23日,5月22日,6月20日,7月19日,8月18日,9月16日,10月16日,11月14日,12月14日,788/1/13
